Timestamp,,Your age?,Which media you choose to search for trips?,What kind of locations for trips make you happy?,With whom you like to go for trips?,How much time you like to spend on a trip?,What medium of transportation you choose while travelling?,What you do (online) in advance for your trip?,What kind of accommodation you choose? ,On which social network are you most active when it comes to sharing your travels?,What amount to prefer to spend on a trip? (NZ dollar),Anything else you would like to add regarding trips?,Name (optional),
2019/05/13 9:58:27 PM GMT+12,I Agree,26 - 35 year,Both,Festival celebration;Discover new horizons,Partner,1 week,Personal vehical;Tourist bus,Hotel booking;Tickets for entertainment places;Seat booking to travel,Standard hotel,Wechat ,$1000-1500,Areas in NZ that I prefer is South island as my favorite destination ,,
2019/05/14 1:37:50 AM GMT+12,I Agree,26 - 35 year,Both,Peaceful;Adventurous,Family;Friends;Partner,3 - 4 days,Personal vehical,Hotel booking;Seat booking to travel,Standard hotel,Facebook;whatsapp,200,,,
2019/05/14 1:38:59 AM GMT+12,I Agree,26 - 35 year,Both,Peaceful;Adventurous;Discover new horizons,Family;Alone;Friends;Partner,3 - 4 days,Personal vehical;Rent a car with driver;Tourist bus;Train;Boat or Ship;Taxi,Hotel booking;Tickets for entertainment places;Seat booking to travel,Youth Hotel;Rent an apartment;Camping,I don't post anything on social media.,NA,NA,SG,
2019/05/14 1:41:27 AM GMT+12,I Agree,26 - 35 year,Both,Peaceful;Adventurous;Discover new horizons,Family;Friends;Partner,1 week,Rent a car with driver;Tourist bus;Train,Hotel booking;Tickets for entertainment places;Seat booking to travel,Standard hotel;Rent an apartment,Facebook,,,,
2019/05/14 1:52:11 AM GMT+12,I Agree,26 - 35 year,Both,Adventurous;Festival celebration;Discover new horizons,Family;Friends;Partner,1 week,Personal vehical;Rent a car;Rent a car with driver;Boat or Ship,Hotel booking;Seat booking to travel,Standard hotel;Camping,Facebook;Instagram,,,Noopur,
2019/05/14 8:36:29 AM GMT+12,I Agree,26 - 35 year,Both,Peaceful;Adventurous,Family;Alone;Friends;Partner,3 - 4 days,Personal vehical;Rent a car,None of the above,Five star hotel;Standard hotel,I don't post anything on social media.,1500,,,
2019/05/14 9:22:17 AM GMT+12,I Agree,36 - 55 year,Both,Peaceful,Family;Friends,1 week,Rent a car;Bus;Train;Taxi,Hotel booking,Rent an apartment;Stay at friend or relative's place,I don't post anything on social media.,1200,No,,
2019/05/14 9:51:15 AM GMT+12,I Agree,26 - 35 year,Through mobile apps,Peaceful,Family,1 - 2 days,Personal vehical,Hotel booking,Standard hotel,Facebook,,,,
2019/05/14 9:53:42 AM GMT+12,I Agree,26 - 35 year,Both,Discover new horizons,Friends;Partner,1 week,Personal vehical,Hotel booking;Tickets for entertainment places,Rent an apartment,Instagram,1500,Which season is good for planing a trip?,,
2019/05/14 9:57:11 AM GMT+12,I Agree,18 - 25 year,Both,Peaceful;Adventurous;Festival celebration;Discover new horizons,Family;Friends;Partner,3 - 4 days,Personal vehical;Bus,Hotel booking;Tickets for entertainment places;Seat booking to travel,Standard hotel;Camping,Instagram;Snapchat,500$,,Dev,
2019/05/14 10:12:20 AM GMT+12,I Agree,18 - 25 year,Through mobile apps,Peaceful;Adventurous,Family;Friends;Partner,1 - 2 days,Rent a car,Hotel booking;Tickets for entertainment places,Standard hotel,Facebook;Instagram;Snapchat,"$1,000 ",,,
2019/05/14 10:16:27 AM GMT+12,I Agree,18 - 25 year,Both,Peaceful;Adventurous;Educational;Festival celebration,Family;Friends;Partner,3 - 4 days,Personal vehical;Rent a car,Hotel booking;Seat booking to travel,Standard hotel,Instagram;Snapchat,1000-2000,,Neelam Godara,
2019/05/14 10:46:28 AM GMT+12,I Agree,26 - 35 year,Through websites,Peaceful;Adventurous;Discover new horizons,Family;Friends;Partner,1 week,Personal vehical;Rent a car,Hotel booking;Tickets for entertainment places;Seat booking to travel,Standard hotel;Rent an apartment;Camping,I don't post anything on social media.,1000,,Jhakar Singh,
2019/05/14 10:58:26 AM GMT+12,I Agree,18 - 25 year,Through websites,Adventurous;Discover new horizons,Family;Friends;Partner,3 - 4 days,Rent a car,Hotel booking,Standard hotel;Youth Hotel,I don't post anything on social media.,250,,,
2019/05/14 11:05:35 AM GMT+12,I Agree,18 - 25 year,Both,Peaceful,Friends,3 - 4 days,Personal vehical;Bus;Train,Hotel booking;Seat booking to travel,Rent an apartment;Camping;Stay at friend or relative's place,Instagram,2000,,,
2019/05/14 11:10:29 AM GMT+12,I Agree,26 - 35 year,Through websites,Peaceful;Discover new horizons,Friends;Partner,3 - 4 days,Tourist bus;Train;Taxi,Hotel booking;Tickets for entertainment places;Seat booking to travel,Five star hotel;Standard hotel,Facebook;Instagram;Snapchat,$200-$300,,,
2019/05/14 11:13:30 AM GMT+12,I Agree,18 - 25 year,Both,Festival celebration,Friends,1 week,Rent a car,Tickets for entertainment places,Rent an apartment,Facebook;Instagram,,,,
2019/05/14 11:13:35 AM GMT+12,I Agree,18 - 25 year,Both,Peaceful;Adventurous;Discover new horizons,Family;Friends;Partner,3 - 4 days,Personal vehical;Train,Search for some adventurous and entertained places won’t be booking anything will see by going to that place and then will be deciding whether it worths or not ,Standard hotel;Camping;Stay at friend or relative's place,Instagram;Snapchat,200-300,Nothing much ,,
2019/05/14 11:15:53 AM GMT+12,I Agree,36 - 55 year,Both,Peaceful;Adventurous;Educational;Festival celebration;Discover new horizons,Family;Friends;Partner,3 - 4 days,Personal vehical;Rent a car;Train;Boat or Ship,Hotel booking;Seat booking to travel,Standard hotel;Camping;Stay at friend or relative's place,Facebook;Instagram,1000$ or less,,,
2019/05/14 11:16:13 AM GMT+12,I Agree,36 - 55 year,Both,Peaceful;Adventurous;Discover new horizons,Family;Alone;Friends;Partner,1 week,Personal vehical;Rent a car;Tourist bus;Train;Boat or Ship;air,Hotel booking;Tickets for entertainment places;Seat booking to travel,Five star hotel;Standard hotel;Rent an apartment,wechat,5000,,,
2019/05/14 11:18:36 AM GMT+12,I Agree,26 - 35 year,Through websites,Adventurous;Educational;Festival celebration,Friends,3 - 4 days,Rent a car,Tickets for entertainment places,Standard hotel;Youth Hotel;Rent an apartment,Facebook;Instagram,300,No,Arko Roy Choudhury ,
2019/05/14 11:36:34 AM GMT+12,I Agree,18 - 25 year,Both,Adventurous,Friends;Partner,1 week,Personal vehical,Hotel booking,Standard hotel,Facebook;Instagram,According to needs  and planing,No,Prabhjot singh,
2019/05/14 11:40:26 AM GMT+12,I Agree,26 - 35 year,Through mobile apps,Peaceful,Family,3 - 4 days,Rent a car,Hotel booking,Five star hotel,I don't post anything on social media.,1000,no,,
2019/05/14 11:42:37 AM GMT+12,I Agree,18 - 25 year,Both,Peaceful;Adventurous;Discover new horizons,Family;Friends;Partner,3 - 4 days,Personal vehical;Train,Search for some adventurous and entertained places won’t be booking anything will see by going to that place and then will be deciding whether it worths or not ,Standard hotel;Camping;Stay at friend or relative's place,Instagram;Snapchat,200-300,Nothing much ,,
2019/05/14 12:00:51 PM GMT+12,I Agree,18 - 25 year,Through websites,Peaceful,Friends;Partner,1 - 2 days,Personal vehical,Hotel booking;Tickets for entertainment places,Standard hotel,Facebook;Instagram,$500 approx.,Romance😍,Jas,
2019/05/14 12:03:01 PM GMT+12,I Agree,26 - 35 year,Through websites,Peaceful;Adventurous;Festival celebration,Family;Friends;Partner,3 - 4 days,Personal vehical,Hotel booking;Tickets for entertainment places,Standard hotel,Wethat,300-800,,Vicky,
2019/05/14 12:13:49 PM GMT+12,I Agree,26 - 35 year,Through websites,Adventurous,Family;Alone;Friends;Partner,3 - 4 days,Personal vehical,Hotel booking;Tickets for entertainment places,Standard hotel,Instagram;Snapchat,500,,,
2019/05/14 12:26:42 PM GMT+12,I Agree,36 - 55 year,Through mobile apps,Discover new horizons,Family,1 week,Personal vehical;Taxi,Hotel booking;Tickets for entertainment places,Five star hotel;Stay at friend or relative's place,Snapchat;Twitter,1000,,,
